ID,A1_2025,A2,A3_2025,A11,A12,A5,A13,A13a,A4pond,A4lr,A4sand,A4mo,A4plat,A4riv,A6bank,A6wade,A6boat,A6kayak,A6tube,A6craft,A6ice,A6othr,A7rod,A7fly,A7snag,A7sp,A7uw,A7arch,A7set,A7othr,Q11,A14pub,A14priv,A8,A9,A10,Q16,E7,Q18a,Q18b,Q18c,D4oga,D4tr,D4lrp,D4rsc,B1_2025,D4a_2025,D4b_2025,D4c_2025,D4d_2025,D4e_2025,D4f_2025,D4g_2025,D4h_2025,D4i_2025,D4j_2025,D4k_2025,D4l_2025,D4m_2025,C1jan_2025,C1feb_2025,C1mar_2025,C1apr_2025,C1may_2025,C1june_2025,C1july_2025,C1aug_2025,C1sept_2025,C1oct_2025,Q23_1,Q23_2,Q23_3,B2stb_no,B2stb_lrp,B2stb_rsc,B2wpr_no,B2wpr_lrp,B2wpr_rsc,B2whb_no,B2whb_lrp,B2whb_rsc,B2lmb_no,B2lmb_lrp,B2lmb_rsc,B2smb_no,B2smb_lrp,B2smb_rsc,B2sun_no,B2sun_lrp,B2sun_rsc,B2crp_no,B2crp_lrp,B2crp_rsc,B2ywp_no,B2ywp_lrp,B2ywp_rsc,B2wae_no,B2wae_lrp,B2wae_rsc,B2ntp_no,B2ntp_lrp,B2ntp_rsc,B2musk_no,B2musk_lrp,B2musk_rsc,B2ccf_no,B2ccf_lrp,B2ccf_rsc,B2bcf_no,B2bcf_lrp,B2bcf_rsc,B2fcf_no,B2fcf_lrp,B2fcf_rsc,B2bh_no,B2bh_lrp,B2bh_rsc,B2fwd_no,B2fwd_lrp,B2fwd_rsc,B2stur_no,B2stur_lrp,B2stur_rsc,B2carp_no,B2carp_lrp,B2carp_rsc,B2aCarp_no_2025,B2aCarp_lrp_2025,B2aCarp_rsc_2025,B2rbt_no,B2rbt_lrp,B2rbt_rsc,B2pdf_no,B2pdf_lrp,B2pdf_rsc,B2oth_no,B2oth_lrp,B2oth_rsc,B2any_no,B2any_lrp,B2any_rsc,B3stb,B3wpr,B3whb,B3lmb,B3smb,B3sun,B3crp,B3ywp,B3wae,B3ntp,B3musk,B3ccf,B3bcf,B3fcf,B3bh,B3fwd,B3stur,B3carp,B3aCarp_2025,B3rbt,B3pdf,B3oth,B3any,Q26,Q27,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,C2a,C2b,C2c,C2d,C2e,C2f,C2g,C2h,C2i,C2j,C2k,C2l,C2m,C2n,C2o,C2p,C2q,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q31_8,Q31_9,Q31_10,Q31_11,Q31_12,E1a,E1b,E1c,E1d,E1e,E1f,E1g,E1h,E1i,E1j,E1k,E1l,E1m,E1n,E1o,E1p,E2,Q34,Age,E8,F2,F3,Q38,mode,Source,Condition
102690,21,2,6,2, ,1, ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1956,70,69141, , ,"I do not fish, but do hunt turkeys, deer",2,8,1
102853,9,1, ,1,2,1, ,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,5,5,3,2,1,0,1, ,2,2,2,2,4,3,3,2,2,2,3,4,1,4,3,3,3,3,12,12, , , , , , , , ,1, , ,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , ,5,5,5,4,4,4,3,1,1,4,4,2,1,2,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1964,62,68003, , , ,1,6,1
103131,21,1, ,2, ,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2, ,1,3,2,3,1,2, , ,1,2,2,2,2,4,3,2,5,5,5,3,3,2,2,3,4,4,5,5, , , , , , , , , ,6,6,6,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0, , , ,4, ,4,4, , , , , , , , , , ,5, , , , ,4,2,10,1,1,1,1,1,6,3,5,3,5,4,3,1,1,1,4,1,1,3,5,1,1,5,4,5,3,4,3,5,2,5,3,3,4,5,5,3,3,1,1,5,2,3,1,3,5,5,4,3,2,1,2,1954,72,68873, ,More money needs to be spent on the other 2/3 of the state and not just Omaha & Linc. end of the state, ,2,8,1
103307,10,1, ,2, ,1, ,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,3,3,1,2,1, , ,1,2,2,2,2,12,5,2,2,2,2,2,4,2,4,4,4,4,2,12,12,12,3,4,4,4,4,4,4, , ,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0, , , , , , , , , , , ,2, , , , , , , , , , , ,2, , , , , , , ,4,4,4,4,4,4,3,1,1,3,4,4,3,1,4,3,4,1,1,2,1,5,1,5,5,5,4,4,4,4,2,2,4,2,4,1,2,4,4,4,4,2,2,2,2,2,1952,74,68008, ,bank fishing by highway brights, ,2,8,1
103556,7,1, ,1,2,2, ,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,1,6,2,4,2,1, ,1, ,1, , ,1,9,1,3,4,4,2,5,4,4,2,4,1,4,2,4,4,1,3,4,3,4,4,12,12,1, ,6,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0, ,2,2,4,4,2,2,2,2,5, ,4, , , , , , , ,1, , , ,1,4,3,2,2,3,4,3,3,4,2,4,1,4,1,1,1,2,5,3,1,2,4,5,4,2,2,4,1,2,2,3,3,2,4,5,5,4,4,5,4,5,3,3,4,5,3,2,3,4,5,3,5,2,1966,60,69334, ,Stock the western part of the state as much as the eastern, ,1,7,1
103620,10,1, ,1,1,1, ,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,3,2,1,0,1, ,2,2,2,2,23, , , , , , , , , , , , , ,12,12,12,12,2,2,2,2,2,12,6,6,6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1, , , , , ,5, , , , , ,5, , , , , , , , , ,5,5,2, , , , , , , ,4,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,3,3,2,3,3,3,2,3,2,2,1988,38,68866,That is easy to get to where I fish, , ,1,1,1
103740,21,1, ,2, ,1, ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2, ,1,1,2,2,1, , ,1,2,2,2,2,6,3, , ,2,2,4,3,4,3,3,2,2,4,12,12,12,4,5,5,5,12,12,12,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,3, , , , , ,4, , , , , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,2,4,3,3,3,3,4,5,5,3,4,2,3,4,4,3,3,3,4,4,4,4,2,1955,71,69149, ,Stock more fish, ,2,8,2
103767,18,1, ,1,2,2, ,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1, , , ,2,2,2,2,23, , , , , , , , , , , , , ,12,12,12,12,2,3,4,4,4,1,2,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1, , , ,5,5,5,5, , , , ,5,5,5,5,5, ,5,1, , , ,5,2, , , , , , , ,3,3,3,2,3,3,3,3,1,4,2,3,3,2,3,3,5,3,3,3,3,3,3,5,5,3,5,4,4,4,3,4,2,4,4,2,3,2,3,3,3,3,4,2,2,2,1960,66,68030,"Home, Eazy, Fun", , ,2,8,1
104068,7,1, ,2,1,1, ,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1, ,1,1,2,2,1, , ,1,2,2,2,2, ,3,2,2,2,3,3,2,1,2,2,2,3,3, , , , , ,4,5, , , ,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0, , , , , , , , ,5, , ,4,4,5, ,4, , , , , , , ,2, , , , , , , ,5,3,5,4,1,5,1,1,1,3,4,2,1,1,4,4,4,4,4,3,3,3,2,4,4,2,3,4,4,4,3,2,2,4,3,4,2,5,2,2,2,2,2,2,3,2,1953,73,68757,' The open waters of the Missouri,Be more constint with the water level, ,2,8,2
104420,10,1, ,1,1,2, ,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1, ,6,6,4,2,1,0,6, ,2,2,2,2, ,2,2, ,4,4,5,2,3,2,2,2,4,4,2,2,3,2,5,6,4,3,12,12,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0, , ,4, , ,4,4,4,3, , , , , , , , , , , , , , ,1,10,2,2,2,2,2,2,4,4,3,4,4,4,1,5,1,4,2,3,3,3,5,4,4,5,5,1,4,1,2,1,1,4,1,5,5,4,2,3,1,5,4,4,4,3,2,3,4,3,5,2,2,2,1973,53,68022,We have some cool lakes & a lot of opportunities.,I like specific regulations for lakes but finding out what they are is challenging.,Improve parking a boat ramps. We fish Colamus a lot and they redid Buckshot but didn't increase parking. Very dangerous people parking on highways.,2,8,2
104487,10,1, ,2, ,2, ,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1, ,2,2,1,1,2, , ,1,2,2,2,2, ,4,1,3,1,3,3,1,3,4,4,4,4,3,7,7,12,12,7,7,6,4,6,6,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0, , , , , ,4,4,4,4,4, , , , , , , , , , , , , ,1,20,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,1, ,3,3,4,4,1,4,4,2,4,4,3,4,4,4,4,2,2,1,1,4,2,4,1,1, ,4,2,1,1,1,2,1955,71,69348, , , ,2,8,2
104548,10,1, ,1,2,2, ,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,2,6,6,2,1,1, , ,1,2,2,2,1,9,3,2,2,2,2,3,2,3,4,4,4,4,3,12,12, ,3,3,5,12, ,3,3,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,5, , ,1, ,1, , ,1,5,5, , , , , ,1, , ,1,2, , , , , , , ,3,3,3,4,3,3,4,2,1,3,3,5,3,2,2,2,3,2,2,4,2,5,2,4,4,2,5,5,5,4,3,3,2,2,3,4,3,4,3,2,2,2,3,4,3,2,1964,62,68462,White Bass - Wyper Resevoirs Walleye - Reservoirs Catfish creeks, , ,2,8,2
104698,6,1, ,2,2,2, ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,3,2,1,2,1, , ,1,2,2,2,2,3,5,2,5,5,2,2,3,2,3,4,4,4,2,12,12,12,12,8,9,10,10,9,7,6, , ,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,5,3,4,5,5,3,5,5,1,3,5,5,5,5,2,5,5,5,5,5,5,5,2, , , , , , , ,5,3,5,5,3,5,3,3,1,5,3,3,3,1,3,3,5,1,5,5,3,3,3,5,5,5,3,5,5,5,3,3,2,5, ,1,1,1,4,3,3,1,1,3,2,2,1998,28,69101,Love being outdoors in beautiful Nebraska - God's country life!, ,Nebraska - The Good Life -,2,8,1
104810,4,1, ,2, ,1, ,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,2,6,6,1,2,1, , ,1,2,2,2,2, ,4,2,4,4,4,2,4,3,4,4,2,2,4,12,12,12,12,1,2,4,4,12,12,4,4,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,5,1,1, , , , , ,1, , , , , , , , , , , , , , ,2, , , , , , , ,5,5,5,5,1,2,1,4,1,4,4,4,1,1,5,2,2,3,4,2,2,4,4,4,4,2,4,4,4,2,2,4,4,4,1,4,4,4,2,2,2,4,4,4,4,2,1983,43,68365, , , ,2,8,2
